names,Event,Depth,Lat,Lon,Julian,Cruise,diatom,phaeocystis,dinoflagellate
JR93E14048Mjune301020181dr.txt,140,48,80.85011,29.29974,175,Summer_2018,NA,NA,NA
JR96E12412Mjune121120181dr.txt,124,12,81.26324,18.45155,173,Summer_2018,NA,1,NA
JR96E1242Mjune11120181dr.txt,124,2,81.26324,18.45155,173,Summer_2018,NA,1,NA
JR96E12440Mjune301020181dr.txt,124,40,81.26324,18.45155,173,Summer_2018,NA,1,NA
JR96E12460Mjune311020182dr.txt,124,60,81.26324,18.45155,173,Summer_2018,NA,1,NA
JR98E1441Mjune51120181dr.txt,144,1,79.33328,29.99977,175,Summer_2018,NA,NA,NA
JR98E14440Mjune11120181dr.txt,144,40,79.33328,29.99977,175,Summer_2018,NA,NA,NA
MEAST2E1342Mjune1112018dr.txt,134,2,81.30279,31.31536,174,Summer_2018,1,NA,NA
MEAST2E13450Mjune141120181dr.txt,134,50,81.30279,31.31536,174,Summer_2018,1,NA,NA
MEASTE6918Mjune311020181dr.txt,69,18,81.30537,31.3339,168,Summer_2018,1,NA,NA
MEASTE6935Mjune151120181dr.txt,69,35,81.30537,31.3339,168,Summer_2018,NA,NA,NA
MEASTE695Mjune151020181dr.txt,69,5,81.30537,31.3339,168,Summer_2018,NA,NA,NA
MWESTE2625Mjune141120182dr.txt,26,25,81.03374,18.38546,165,Summer_2018,NA,NA,NA
MWESTE265Mjune151020181dr.txt,26,5,81.03374,18.38546,165,Summer_2018,NA,NA,NA
MWESTE2665Mjune51120181dr.txt,26,65,81.03374,18.38546,165,Summer_2018,NA,NA,NA
RIJPE1211Mjune151020181dr.txt,121,1,80.29297,22.32005,172,Summer_2018,NA,NA,NA
RIJPE12120Mjune51120182dr.txt,121,20,80.29297,22.32005,172,Summer_2018,NA,NA,NA
